Change Component Comment : Designator=RESET Old Comment=TACTILE SWITCH New Comment=RS-282G05A3-SM RT
Change component parameters: Designator = "RESET" ("RESET"); Footprint = "SW_5ESH935"; UniqueID = "\AHFGTQAD" ("\AHFGTQAD")
Change component parameters (AddParameter): Name = "Actuator Height off PCB, Vertical"; Value = "2.50mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Length, Right Angle"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Material"; Value = "Polyamide (PA), Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Orientation"; Value = "Top Actuated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Actuator Type"; Value = "Rectangular Button"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Switches"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuit"; Value = "SPST-NO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://media.digikey.com/pdf/Data%20Sheets/C&K/RS-282G05A-SM_RT.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://media.digikey.com/pdf/Data%20Sheets/C&K/RS-282G05A-SM_RT.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Rating @ Voltage"; Value = "0.05A @ 12VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination"; Value = "Non-Illuminated"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Type, Color"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Illumination Voltage (Nominal)"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ingress Protection"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "C&K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RS-282G05A3-SM RT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mechanical Life"; Value = "50,000 Cycles"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Force"; Value = "250gf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Outline"; Value = "6.00mm x 3.60mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel®"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.81, 10=0.78, 25=0.7356, 50=0.6474, 100=0.5885, 250=0.55908, 500=0.54436, 1000=0.42666 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "34459"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "CKN10384DKR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Switch Travel"; Value = "0.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "Gull Wing"; VariantName = "[No Variations]"
